DipoleDipole 4X21_1
2
11
3
Type of measurement (0=app.resistivity,1=resistance)
1
1149
2
0
4	100	0	98	0	82	0	84	0	0.0475194807962658
4	86	0	84	0	74	0	76	0	0.217186627631684
4	98	0	96	0	86	0	88	0	0.191632799894698
4	108	0	92	0	60	0	76	0	0.815540283977146
4	84	0	82	0	74	0	76	0	0.456007345728549
4	152	0	140	0	92	0	104	0	0.0802656710610509
4	112	0	108	0	72	0	76	0	0.0182225984624775
4	100	0	96	0	68	0	72	0	0.0631652776958662
4	96	0	94	0	86	0	88	0	0.33757945992555
4	96	0	94	0	76	0	78	0	0.0316418792294511
4	106	0	104	0	86	0	88	0	0.0665765073106034
4	82	0	80	0	74	0	76	0	1.37402949825311
4	44	0	40	0	4	0	8	0	0.021417919649236
4	128	0	120	0	64	0	72	0	0.0296219049904288
4	94	0	92	0	86	0	88	0	1.27727029526678
4	94	0	92	0	76	0	78	0	0.0512196944550467
4	104	0	102	0	86	0	88	0	0.079173082476482
4	108	0	104	0	72	0	76	0	0.0451965897922296
4	56	0	44	0	8	0	20	0	0.15749242864791
4	140	0	120	0	60	0	80	0	0.137315676299371
4	96	0	92	0	72	0	76	0	0.10820758421629
4	80	0	72	0	48	0	56	0	0.303004699674229
4	152	0	132	0	52	0	72	0	0.0720156947658984
4	112	0	104	0	64	0	72	0	0.108541508742545
4	64	0	56	0	0	0	8	0	0.0294144339666813
4	160	0	148	0	52	0	64	0	0.0174832606581719
4	128	0	120	0	72	0	80	0	0.0331150903265427
4	148	0	136	0	52	0	64	0	0.0198935524641775
4	28	0	20	0	4	0	12	0	1.86710916639287
4	92	0	80	0	44	0	56	0	0.240270263953515
4	120	0	100	0	60	0	80	0	0.699638218108331
4	80	0	72	0	56	0	64	0	1.12435444666219
4	28	0	24	0	8	0	12	0	0.297369739400084
4	54	0	52	0	46	0	48	0	1.42151987108257
4	64	0	62	0	46	0	48	0	0.0574238935271541
4	112	0	104	0	72	0	80	0	0.161988115365668
4	80	0	76	0	40	0	44	0	0.0168904293985926
4	52	0	50	0	46	0	48	0	6.92072974806553
4	62	0	60	0	46	0	48	0	0.0790162687876007
4	128	0	112	0	32	0	48	0	0.0407456995081413
4	84	0	72	0	48	0	60	0	0.809012472671708
4	152	0	140	0	56	0	68	0	0.0219431158616509
4	64	0	60	0	32	0	36	0	0.0489244833192045
4	144	0	124	0	24	0	44	0	0.0411150171819364
4	48	0	36	0	0	0	12	0	0.216613695771365
4	76	0	72	0	44	0	48	0	0.0317820523531418
4	52	0	48	0	32	0	36	0	0.217956573363335
4	60	0	52	0	20	0	28	0	0.15280355969263
4	60	0	56	0	36	0	40	0	0.123216484799048
4	112	0	100	0	4	0	16	0	0.0171038234741607
4	40	0	36	0	28	0	32	0	3.51562008782419
4	112	0	96	0	32	0	48	0	0.0807192966772722
4	84	0	80	0	44	0	48	0	0.0174858448029094
4	72	0	68	0	44	0	48	0	0.0710770207243963
4	48	0	44	0	32	0	36	0	0.495962931889437
4	56	0	48	0	24	0	32	0	0.303795876923229
4	80	0	60	0	20	0	40	0	0.567549635103958
4	44	0	36	0	20	0	28	0	1.4276513689862
4	120	0	104	0	8	0	24	0	0.0285793227513635
4	72	0	64	0	32	0	40	0	0.145849079092249
4	124	0	104	0	24	0	44	0	0.0741620120513638
4	152	0	148	0	132	0	136	0	0.322890342695529
4	140	0	136	0	128	0	132	0	1.79171831111386
4	136	0	124	0	28	0	40	0	0.0164190064787898
4	116	0	108	0	36	0	44	0	0.0107839029358766
4	116	0	104	0	20	0	32	0	0.0241040845034005
4	148	0	144	0	132	0	136	0	0.516114728417908
4	156	0	148	0	124	0	132	0	0.403539089865003
4	56	0	48	0	32	0	40	0	1.15497079842634
4	144	0	136	0	120	0	128	0	1.21343412422958
4	144	0	140	0	132	0	136	0	1.87627157299743
4	148	0	140	0	124	0	132	0	1.1487887255769
4	120	0	118	0	104	0	106	0	0.165536966374686
4	156	0	148	0	132	0	140	0	1.15360103477731
4	68	0	56	0	8	0	20	0	0.076979029796822
4	118	0	116	0	108	0	110	0	0.517883452634294
4	120	0	116	0	100	0	104	0	0.377607402041906
4	116	0	114	0	108	0	110	0	1.34067448244682
4	102	0	100	0	96	0	98	0	9.68285457639704
4	114	0	112	0	108	0	110	0	5.25338062233798
4	128	0	124	0	104	0	108	0	0.184093697149486
4	116	0	112	0	104	0	108	0	3.54910050943815
4	148	0	128	0	8	0	28	0	0.0270659255102375
4	124	0	120	0	104	0	108	0	0.374418106516823
4	128	0	108	0	8	0	28	0	0.0403085570493832
4	152	0	144	0	88	0	96	0	0.0193169441362657
4	132	0	112	0	72	0	92	0	0.516273755050357
4	124	0	112	0	64	0	76	0	0.0989199576150173
4	72	0	64	0	8	0	16	0	0.023869149819028
4	96	0	94	0	80	0	82	0	0.0621208882001863
4	60	0	58	0	54	0	56	0	7.67542692995309
4	94	0	92	0	80	0	82	0	0.110104062326962
4	92	0	90	0	80	0	82	0	0.18708178041875
4	136	0	124	0	76	0	88	0	0.0795367665815828
4	144	0	128	0	64	0	80	0	0.0665736068572887
4	80	0	78	0	66	0	68	0	0.151577704640299
4	90	0	88	0	80	0	82	0	0.432706980339398
4	90	0	88	0	70	0	72	0	0.0576831861192668
4	98	0	96	0	78	0	80	0	0.0378010264697691
4	78	0	76	0	70	0	72	0	1.31751385748971
4	88	0	86	0	80	0	82	0	1.1648650935913
4	88	0	86	0	70	0	72	0	0.0678892970449801
4	100	0	92	0	44	0	52	0	0.0349835270828518
4	96	0	94	0	78	0	80	0	0.0424579317334901
