61
# x y z
0	1	2660
4	1	2658.8551593774
8	1	2657.8388613339
12	1	2657
16	1	2656.387469506
20	1	2656.0501639823
24	1	2656.0330772269
28	1	2656.2914953963
32	1	2656.6909970049
36	1	2657.0936970032
40	1	2657.4145592668
42	1	2657.5490655619
44	1	2657.6711881469
46	1	2657.7846016577
48	1	2657.8929807302
50	1	2658
52	1	2658.1086368504
54	1	2658.2190796536
56	1	2658.3308195292
58	1	2658.4433475968
60	1	2658.5561549759
62	1	2658.6687327862
64	1	2658.7805721473
66	1	2658.8911641787
68	1	2659
70	1	2659.1067467824
72	1	2659.2117759035
74	1	2659.3156347927
76	1	2659.4188708791
78	1	2659.522031592
80	1	2659.6256643607
82	1	2659.7303166144
84	1	2659.8365357823
86	1	2659.9448692938
88	1	2660.0558431365
90	1	2660.1694901433
92	1	2660.285349992
94	1	2660.402940919
96	1	2660.5217811606
98	1	2660.6413889532
100	1	2660.761282533
102	1	2660.8809801365
104	1	2661
106	1	2661.1181143664
108	1	2661.236111505
110	1	2661.3550336916
112	1	2661.4759232021
114	1	2661.5998223124
116	1	2661.7277732982
118	1	2661.8608184355
120	1	2662
124	1	2662.2972641285
128	1	2662.6095169614
132	1	2662.9230323904
136	1	2663.2240843074
140	1	2663.4989466043
144	1	2663.7338931728
148	1	2663.9151979048
152	1	2664.0291346921
156	1	2664.0619774266
160	1	2664
1149
# a b m n err i ip iperr k r rhoa u valid 
4	3	1	2	3.01839189504436e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	8.10448265924558e+01	2.71858880661244e+00	2.20327558408097e+02	0.00000000000000e+00	1
5	4	1	2	3.05716876491722e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.34282297914262e+02	8.74603466987674e-01	2.92364456708420e+02	0.00000000000000e+00	1
5	4	2	3	3.01731072165802e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	7.80459504746237e+01	2.88838333766588e+00	2.25426622923199e+02	0.00000000000000e+00	1
6	5	1	2	3.14438695139400e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	8.57523691136831e+02	3.46291680219501e-01	2.96953319831802e+02	0.00000000000000e+00	1
6	5	2	3	3.06322916723258e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.17081955186568e+02	7.90774292757695e-01	2.50740258858885e+02	0.00000000000000e+00	1
6	5	3	4	3.02445619475424e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	7.73303884069248e+01	2.04447177913217e+00	1.58099796767287e+02	0.00000000000000e+00	1
7	5	1	3	3.02672628589127e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.63370589598644e+02	1.87081737445336e+00	3.05636537495832e+02	0.00000000000000e+00	1
7	6	1	2	3.19705015331578e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.77080359002039e+03	2.53742507471552e-01	4.49328143171400e+02	0.00000000000000e+00	1
7	6	2	3	3.10446192995548e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	8.08780062302034e+02	4.78643272446807e-01	3.87117135709978e+02	0.00000000000000e+00	1
7	6	3	4	3.05592357236213e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14887727073929e+02	8.94077361085303e-01	2.81533988060408e+02	0.00000000000000e+00	1
