Wenner_1
4.0000
11
1
Type of measurement (0=app. resistivity,1=resistance)
0
278
2
0
4     168.00       4.91     192.00       5.20     176.00       5.13     184.00       5.28     24.63582 
4     172.00       5.02     196.00       5.08     180.00       5.23     188.00       5.29     27.36433 
4     176.00       5.13     200.00       4.95     184.00       5.28     192.00       5.20     27.62727 
4     180.00       5.23     204.00       4.83     188.00       5.29     196.00       5.08     28.99750 
4     184.00       5.28     208.00       4.73     192.00       5.20     200.00       4.95     34.51484 
4     192.00       5.20     216.00       4.49     200.00       4.95     208.00       4.73     38.93263 
4     196.00       5.08     220.00       4.40     204.00       4.83     212.00       4.56     37.12885 
4     200.00       4.95     224.00       4.30     208.00       4.73     216.00       4.49     37.46015 
4     204.00       4.83     228.00       4.20     212.00       4.56     220.00       4.40     36.97217 
4     208.00       4.73     232.00       4.09     216.00       4.49     224.00       4.30     36.57236 
4     212.00       4.56     236.00       3.99     220.00       4.40     228.00       4.20     33.34315 
4     216.00       4.49     240.00       3.92     224.00       4.30     232.00       4.09     30.02000 
4     224.00       4.30     248.00       3.66     232.00       4.09     240.00       3.92     25.89416 
4     232.00       4.09     256.00       3.33     240.00       3.92     248.00       3.66     20.78578 
4     240.00       3.92     264.00       2.96     248.00       3.66     256.00       3.33     13.92585 
4     248.00       3.66     272.00       2.57     256.00       3.33     264.00       2.96     12.83142 
4     256.00       3.33     280.00       2.14     264.00       2.96     272.00       2.57      9.34752 
4      80.00       6.03     116.00       5.12      92.00       5.65     104.00       5.30     43.51269 
4      88.00       5.75     124.00       5.03     100.00       5.38     112.00       5.16     38.29536 
4      92.00       5.65     128.00       4.96     104.00       5.30     116.00       5.12     42.34628 
4      96.00       5.54     132.00       4.90     108.00       5.23     120.00       5.09     44.51647 
4     100.00       5.38     136.00       4.85     112.00       5.16     124.00       5.03     45.37646 
4     104.00       5.30     140.00       4.79     116.00       5.12     128.00       4.96     47.15299 
4     108.00       5.23     144.00       4.74     120.00       5.09     132.00       4.90     41.79135 
4     112.00       5.16     148.00       4.70     124.00       5.03     136.00       4.85     40.86116 
4     116.00       5.12     152.00       4.66     128.00       4.96     140.00       4.79     41.52964 
4     120.00       5.09     156.00       4.64     132.00       4.90     144.00       4.74     39.36217 
4     124.00       5.03     160.00       4.71     136.00       4.85     148.00       4.70     36.91067 
4     128.00       4.96     164.00       4.79     140.00       4.79     152.00       4.66     37.76795 
4     132.00       4.90     168.00       4.91     144.00       4.74     156.00       4.64     38.41313 
4     136.00       4.85     172.00       5.02     148.00       4.70     160.00       4.71     36.93910 
4     140.00       4.79     176.00       5.13     152.00       4.66     164.00       4.79     36.54982 
4     144.00       4.74     180.00       5.23     156.00       4.64     168.00       4.91     32.99697 
4     148.00       4.70     184.00       5.28     160.00       4.71     172.00       5.02     31.64629 
4     152.00       4.66     188.00       5.29     164.00       4.79     176.00       5.13     32.53840 
4     156.00       4.64     192.00       5.20     168.00       4.91     180.00       5.23     32.36190 
4     160.00       4.71     196.00       5.08     172.00       5.02     184.00       5.28     31.21464 
4     164.00       4.79     200.00       4.95     176.00       5.13     188.00       5.29     27.88211 
4     168.00       4.91     204.00       4.83     180.00       5.23     192.00       5.20     28.35840 
4     172.00       5.02     208.00       4.73     184.00       5.28     196.00       5.08     29.83500 
4     176.00       5.13     212.00       4.56     188.00       5.29     200.00       4.95     33.42509 
4     180.00       5.23     216.00       4.49     192.00       5.20     204.00       4.83     36.95063 
4     184.00       5.28     220.00       4.40     196.00       5.08     208.00       4.73     37.87954 
4     188.00       5.29     224.00       4.30     200.00       4.95     212.00       4.56     36.75362 
4     192.00       5.20     228.00       4.20     204.00       4.83     216.00       4.49     35.81695 
4     196.00       5.08     232.00       4.09     208.00       4.73     220.00       4.40     36.25893 
4     200.00       4.95     236.00       3.99     212.00       4.56     224.00       4.30     35.91919 
4     204.00       4.83     240.00       3.92     216.00       4.49     228.00       4.20     36.20291 
4       0.00       8.97      48.00       7.18      16.00       7.58      32.00       7.74     65.89473 
4       8.00       8.27      56.00       6.83      24.00       7.61      40.00       7.46     62.36127 
4      16.00       7.58      64.00       6.49      32.00       7.74      48.00       7.18     66.09770 
4      24.00       7.61      72.00       6.20      40.00       7.46      56.00       6.83     64.46860 
4      32.00       7.74      80.00       6.03      48.00       7.18      64.00       6.49     65.93444 
4      40.00       7.46      88.00       5.75      56.00       6.83      72.00       6.20     57.10018 
4      48.00       7.18      96.00       5.54      64.00       6.49      80.00       6.03     46.44923 
4      56.00       6.83     104.00       5.30      72.00       6.20      88.00       5.75     47.70033 
4      64.00       6.49     112.00       5.16      80.00       6.03      96.00       5.54     49.03458 
4      72.00       6.20     120.00       5.09      88.00       5.75     104.00       5.30     43.36383 
4      80.00       6.03     128.00       4.96      96.00       5.54     112.00       5.16     38.91302 
4      88.00       5.75     136.00       4.85     104.00       5.30     120.00       5.09     42.76698 
4      96.00       5.54     144.00       4.74     112.00       5.16     128.00       4.96     45.50263 
4     104.00       5.30     152.00       4.66     120.00       5.09     136.00       4.85     44.55804 
4     112.00       5.16     160.00       4.71     128.00       4.96     144.00       4.74     39.81258 
4     120.00       5.09     168.00       4.91     136.00       4.85     152.00       4.66     41.49918 
4     128.00       4.96     176.00       5.13     144.00       4.74     160.00       4.71     42.70757 
4     136.00       4.85     184.00       5.28     152.00       4.66     168.00       4.91     42.03360 
4     144.00       4.74     192.00       5.20     160.00       4.71     176.00       5.13     39.36420 
4     152.00       4.66     200.00       4.95     168.00       4.91     184.00       5.28     37.06245 
4     160.00       4.71     208.00       4.73     176.00       5.13     192.00       5.20     33.93312 
4     168.00       4.91     216.00       4.49     184.00       5.28     200.00       4.95     36.79564 
4     176.00       5.13     224.00       4.30     192.00       5.20     208.00       4.73     42.28202 
4     184.00       5.28     232.00       4.09     200.00       4.95     216.00       4.49     43.10526 
4     192.00       5.20     240.00       3.92     208.00       4.73     224.00       4.30     42.87967 
4     200.00       4.95     248.00       3.66     216.00       4.49     232.00       4.09     38.99626 
4     208.00       4.73     256.00       3.33     224.00       4.30     240.00       3.92     33.81952 
4     216.00       4.49     264.00       2.96     232.00       4.09     248.00       3.66     24.11195 
4     224.00       4.30     272.00       2.57     240.00       3.92     256.00       3.33     31.50449 
4     232.00       4.09     280.00       2.14     248.00       3.66     264.00       2.96     27.26611 
4       0.00       8.97      72.00       6.20      24.00       7.61      48.00       7.18     73.68231 
4       8.00       8.27      80.00       6.03      32.00       7.74      56.00       6.83     70.59098 
4      16.00       7.58      88.00       5.75      40.00       7.46      64.00       6.49     80.69842 
4      24.00       7.61      96.00       5.54      48.00       7.18      72.00       6.20     70.87252 
4      32.00       7.74     104.00       5.30      56.00       6.83      80.00       6.03     66.09680 
4      40.00       7.46     112.00       5.16      64.00       6.49      88.00       5.75     56.62934 
4      48.00       7.18     120.00       5.09      72.00       6.20      96.00       5.54     57.22348 
4      56.00       6.83     128.00       4.96      80.00       6.03     104.00       5.30     54.03067 
4      64.00       6.49     136.00       4.85      88.00       5.75     112.00       5.16     52.62720 
4      72.00       6.20     144.00       4.74      96.00       5.54     120.00       5.09     50.80182 
4      80.00       6.03     152.00       4.66     104.00       5.30     128.00       4.96     53.50861 
4      88.00       5.75     160.00       4.71     112.00       5.16     136.00       4.85     56.08421 
4      96.00       5.54     168.00       4.91     120.00       5.09     144.00       4.74     52.89050 
4     104.00       5.30     176.00       5.13     128.00       4.96     152.00       4.66     54.51111 
4     112.00       5.16     184.00       5.28     136.00       4.85     160.00       4.71     56.65905 
4     120.00       5.09     192.00       5.20     144.00       4.74     168.00       4.91     58.16958 
4     128.00       4.96     200.00       4.95     152.00       4.66     176.00       5.13     55.77644 
4     136.00       4.85     208.00       4.73     160.00       4.71     184.00       5.28     51.01188 
4     144.00       4.74     216.00       4.49     168.00       4.91     192.00       5.20     46.43385 
4     152.00       4.66     224.00       4.30     176.00       5.13     200.00       4.95     46.97158 
