AB/2	MN	Ro_a
1	0.5	23.01
2	0.5	16.6
2.5	0.5	19.25
3	0.5	21.92
4	0.5	26.57
5	0.5	30.64
6	0.5	33.98
8	0.5	35.71
10	0.5	35.12
10	2	35.12
12.5	2	34.59
15	2	33.15
20	2	27.3
25	2	21.28
30	2	18.09
40	2	16.55
50	2	15.46
50	10	15.46
60	10	14.99
80	10	15.14
100	10	15.84
125	10	16.67
150	10	18.54
200	10	22.43
