AB/2	MN	Ro_a
1	0.5	33.82
2	0.5	16.89
2.5	0.5	15.84
3	0.5	15.16
4	0.5	15.28
5	0.5	14.91
6	0.5	15.12
8	0.5	15.85
10	0.5	16.33
10	2	12.28
12.5	2	12.99
15	2	13.18
20	2	13.33
25	2	13.99
30	2	14.71
40	2	16.32
50	2	18.47
50	10	18.02
60	10	20.77
80	10	26.98
100	10	32.09
125	10	38.51
150	10	43.42
200	10	54.31
