AB/2	MN	Ro_a
1	0.5	13.19
2	0.5	12.41
2.5	0.5	16.69
3	0.5	13.55
4	0.5	15.36
5	0.5	16.5
6	0.5	18.42
8	0.5	19.81
10	0.5	20.27
10	2	18.07
12.5	2	18.05
15	2	17.05
20	2	14.77
25	2	13.37
30	2	12.89
40	2	13.55
50	2	14.98
50	10	13.15
60	10	14.67
80	10	17.09
100	10	19.14
125	10	20.48
150	10	22.34
200	10	25.88
