AB/2	MN	Ro_a
1	0.5	14.62
2	0.5	8.44
2.5	0.5	7.44
3	0.5	7.01
4	0.5	6.39
5	0.5	5.75
6	0.5	5.49
8	0.5	5.07
10	0.5	5.81
10	2	5.81
12.5	2	6.36
15	2	7.19
20	2	8.85
25	2	10.7
30	2	12.03
40	2	14.67
50	2	16.88
50	10	16.88
60	10	19.11
80	10	22.53
100	10	25.07
125	10	28.42
150	10	30.74
200	10	33.04
