dist,alt
0,1601.531617
2.522493572,1601.326813
5.019914282,1602.009797
7.33524938,1602.285889
9.693633106,1602.536927
12.29769439,1603.022157
14.78706789,1603.281586
17.33056801,1603.425568
19.62659572,1603.905457
22.07301821,1604.586304
24.25332107,1604.745576
26.7629997,1605.431794
29.34191902,1605.598115
32.06199882,1606.114259
34.46216698,1606.486512
36.73358168,1606.79062
39.01217034,1606.666047
41.29914609,1606.695069
43.79162681,1606.619477
46.06935251,1606.405091
48.36960419,1606.058381
50.8595425,1605.777558
53.76473505,1605.399689
56.28806605,1604.94629
58.81975324,1604.46222
61.41580077,1603.813172
63.84855802,1603.40091
66.04495228,1603.15091
68.34345879,1602.639924
70.79213836,1602.400117
73.41623486,1601.786622
75.70987339,1601.769166
77.70673061,1601.071564
80,1601
