AB/2	MN	Ro_a
1	0.5	6.85
2	0.5	8.35
2.5	0.5	8.33
3	0.5	8.95
4	0.5	9.99
5	0.5	10.97
6	0.5	11.48
8	0.5	11.53
10	0.5	10.82
10	2	9.65
12.5	2	8.81
15	2	8.11
20	2	7.58
25	2	7.91
30	2	8.48
40	2	9.59
50	2	11.04
50	10	10.32
60	10	11.99
80	10	13.37
100	10	16.89
125	10	31.32
150	10	22.11
200	10	21.77
