AB/2	MN	Ro_a
1	0.5	13.21
2	0.5	9.63
2.5	0.5	9.86
3	0.5	10.43
4	0.5	11.36
5	0.5	12.4
6	0.5	13.4
8	0.5	15.27
10	0.5	16.59
10	2	16.85
12.5	2	18.3
15	2	19.29
20	2	20.23
25	2	18.94
30	2	17.06
40	2	13.13
50	2	10.54
50	10	10.76
60	10	9.82
80	10	9.83
100	10	10.81
125	10	12.31
150	10	14.06
200	10	17.83
