x y
0.00 2660.00
4.00 2658.86
8.00 2657.84
12.00 2657.00
16.00 2656.39
20.00 2656.05
24.00 2656.03
28.00 2656.29
32.00 2656.69
36.00 2657.09
40.00 2657.41
44.00 2657.67
46.00 2657.78
48.00 2657.89
52.00 2658.11
56.00 2658.33
60.00 2658.56
64.00 2658.78
68.00 2659.00
72.00 2659.21
76.00 2659.42
80.00 2659.63
84.00 2659.84
88.00 2660.06
92.00 2660.29
96.00 2660.52
-20.00 2665.94
112.00 2661.48
-4.00 2661.22
